,tp,cp,sp,cf
1980-01-01,0.13615017,0.08456542,0.051584743,0.6211188
1980-01-02,0.07984523,0.050805353,0.029039875,0.63629794
1980-01-03,0.10267718,0.061039925,0.041637257,0.59448385
1980-01-04,0.9983204,0.3216569,0.6766635,0.32219806
1980-01-05,0.72019047,0.27627617,0.4439143,0.38361543
1980-01-06,1.1441389,0.37384,0.77029896,0.32674354
1980-01-07,1.9513332,0.6219346,1.3293986,0.3187229
1980-01-08,0.92319685,0.38886383,0.534333,0.42121443
1980-01-09,0.97180665,0.40988988,0.56191677,0.4217813
1980-01-10,0.4541894,0.21925746,0.23493193,0.48274457
1980-01-11,0.19228737,0.12375256,0.068534814,0.64358133
1980-01-12,0.22032541,0.067970015,0.1523554,0.3084983
1980-01-13,0.99409395,0.18226492,0.81182903,0.18334779
1980-01-14,1.6826396,0.38392708,1.2987125,0.22816953
1980-01-15,1.7744497,0.42817235,1.3462774,0.24129866
1980-01-16,0.6405603,0.24640462,0.3941557,0.38467044
1980-01-17,1.0449995,0.3380136,0.7069859,0.32345814
1980-01-18,0.9437301,0.35686627,0.5868639,0.3781444
1980-01-19,0.64990896,0.33298904,0.31691992,0.5123626
1980-01-20,0.5955022,0.2750459,0.3204563,0.4618722
1980-01-21,1.0928979,0.35882407,0.7340738,0.3283235
1980-01-22,0.8174633,0.34050217,0.4769611,0.41653514
1980-01-23,0.42373726,0.23334354,0.19039372,0.5506798
1980-01-24,0.3089668,0.16709459,0.1418722,0.5408173
1980-01-25,0.6094295,0.22980377,0.3796257,0.37708017
1980-01-26,0.5614718,0.32026145,0.24121037,0.5703963
1980-01-27,1.3542417,1.0938307,0.26041102,0.80770713
1980-01-28,0.30591932,0.20295802,0.1029613,0.6634364
1980-01-29,0.13118482,0.091438785,0.03974603,0.6970226
1980-01-30,1.8252972,0.23800209,1.5872952,0.13039087
1980-01-31,2.5130665,0.48035,2.0327165,0.19114098
1980-02-01,1.2271105,0.45644367,0.77066684,0.37196624
1980-02-02,0.9833563,0.34471428,0.638642,0.3505487
1980-02-03,0.6097541,0.31778416,0.29196993,0.52116776
1980-02-04,1.3453308,0.39694867,0.94838214,0.29505655
1980-02-05,2.0648842,0.6107598,1.4541245,0.29578406
1980-02-06,1.1811348,0.3780176,0.8031172,0.3200461
1980-02-07,2.0115507,0.5015857,1.509965,0.24935277
1980-02-08,2.3962102,0.45152268,1.9446875,0.188432
1980-02-09,1.5638658,0.4436085,1.1202573,0.28366148
1980-02-10,1.3190954,0.40429807,0.9147973,0.30649647
1980-02-11,1.1411042,0.35056114,0.7905431,0.3072122
1980-02-12,0.9731168,0.3377334,0.6353834,0.34706357
1980-02-13,0.77779084,0.31979528,0.45799556,0.41115844
1980-02-14,1.1176902,0.4185134,0.6991768,0.3744449
1980-02-15,0.82696587,0.37269953,0.45426634,0.4506831
1980-02-16,0.94316876,0.43029734,0.5128714,0.4562252
1980-02-17,1.2538383,0.6162653,0.637573,0.491503
1980-02-18,0.68319845,0.38701648,0.29618198,0.5664774
1980-02-19,0.48955458,0.3665947,0.12295988,0.7488332
1980-02-20,0.4719948,0.31178394,0.16021085,0.6605665
1980-02-21,1.6383274,1.1080245,0.5303029,0.6763145
1980-02-22,1.352516,0.9763177,0.37619835,0.72185296
1980-02-23,1.1411989,0.886049,0.2551499,0.7764194
1980-02-24,0.7004199,0.5827351,0.11768478,0.8319797
1980-02-25,0.7393673,0.6534098,0.08595753,0.8837418
1980-02-26,0.9224353,0.66633916,0.25609612,0.72236955
1980-02-27,1.7783684,1.2612724,0.5170959,0.7092301
1980-02-28,0.6219903,0.39978307,0.22220725,0.64274806
1980-02-29,0.35977262,0.29544947,0.06432316,0.82121164
1980-03-01,0.5006189,0.4589288,0.04169008,0.9167229
1980-03-02,0.7847658,0.7301065,0.054659307,0.9303495
1980-03-03,0.9841287,0.91419107,0.06993765,0.92893445
1980-03-04,0.77259755,0.73001075,0.042586803,0.9448784
1980-03-05,0.21566688,0.196388,0.019278869,0.9106081
1980-03-06,0.12616026,0.11154932,0.014610946,0.8841874
1980-03-07,0.08538674,0.0702095,0.015177235,0.822253
1980-03-08,0.07391009,0.054432444,0.019477643,0.73646843
1980-03-09,0.18102089,0.11884196,0.062178925,0.65650964
1980-03-10,0.5880063,0.44677585,0.14123046,0.75981474
1980-03-11,0.47105658,0.3579811,0.113075495,0.7599535
1980-03-12,1.2903893,1.1165775,0.1738118,0.8653028
1980-03-13,0.799282,0.6916035,0.10767853,0.8652809
1980-03-14,1.2897273,0.96841,0.32131732,0.75086415
1980-03-15,1.8234324,0.98040104,0.8430314,0.5376679
1980-03-16,2.083855,1.333218,0.75063694,0.63978446
1980-03-17,1.5712639,1.4019451,0.1693188,0.8922404
1980-03-18,2.1047115,1.9157784,0.18893313,0.91023326
1980-03-19,2.436627,2.1762462,0.26038074,0.8931388
